:START_ID,:END_ID,:TYPE
3039154,3041565,CITY_IN
3039163,3041565,CITY_IN
3039604,3041565,CITY_IN
3039678,3041565,CITY_IN
3040051,3041565,CITY_IN
3040132,3041565,CITY_IN
3040686,3041565,CITY_IN
3041204,3041565,CITY_IN
3041519,3041565,CITY_IN
3041563,3041565,CITY_IN
290594,290557,CITY_IN
291074,290557,CITY_IN
291279,290557,CITY_IN
291696,290557,CITY_IN
292223,290557,CITY_IN
292231,290557,CITY_IN
292239,290557,CITY_IN
292672,290557,CITY_IN
292688,290557,CITY_IN
292878,290557,CITY_IN
292913,290557,CITY_IN
292932,290557,CITY_IN
292953,290557,CITY_IN
292968,290557,CITY_IN
1120471,1149361,CITY_IN
1120473,1149361,CITY_IN
1120483,1149361,CITY_IN
1120484,1149361,CITY_IN
1120487,1149361,CITY_IN
1120500,1149361,CITY_IN
1120501,1149361,CITY_IN
1120543,1149361,CITY_IN
1120616,1149361,CITY_IN
1120627,1149361,CITY_IN
1120711,1149361,CITY_IN
1120863,1149361,CITY_IN
1120879,1149361,CITY_IN
1120985,1149361,CITY_IN
1121045,1149361,CITY_IN
1121271,1149361,CITY_IN
1121418,1149361,CITY_IN
1121855,1149361,CITY_IN
1122068,1149361,CITY_IN
1122189,1149361,CITY_IN
1122402,1149361,CITY_IN
1122408,1149361,CITY_IN
1122464,1149361,CITY_IN
1122705,1149361,CITY_IN
1122747,1149361,CITY_IN
1123004,1149361,CITY_IN
1123343,1149361,CITY_IN
1123424,1149361,CITY_IN
1123666,1149361,CITY_IN
1123906,1149361,CITY_IN
1123935,1149361,CITY_IN
1123963,1149361,CITY_IN
1124621,1149361,CITY_IN
1124973,1149361,CITY_IN
1125155,1149361,CITY_IN
1125267,1149361,CITY_IN
1125362,1149361,CITY_IN
1125444,1149361,CITY_IN
1125497,1149361,CITY_IN
1125866,1149361,CITY_IN
1125890,1149361,CITY_IN
1125896,1149361,CITY_IN
1125962,1149361,CITY_IN
1126216,1149361,CITY_IN
1126263,1149361,CITY_IN
1126266,1149361,CITY_IN
1126606,1149361,CITY_IN
1126710,1149361,CITY_IN
1126796,1149361,CITY_IN
1126884,1149361,CITY_IN
1126935,1149361,CITY_IN
1127001,1149361,CITY_IN
1127110,1149361,CITY_IN
1127451,1149361,CITY_IN
1127547,1149361,CITY_IN
1127604,1149361,CITY_IN
1127628,1149361,CITY_IN
1127664,1149361,CITY_IN
1127667,1149361,CITY_IN
1127768,1149361,CITY_IN
1128186,1149361,CITY_IN
1128239,1149361,CITY_IN
1128265,1149361,CITY_IN
1128310,1149361,CITY_IN
1128565,1149361,CITY_IN
1128954,1149361,CITY_IN
1129013,1149361,CITY_IN
1129077,1149361,CITY_IN
1129516,1149361,CITY_IN
1129555,1149361,CITY_IN
1129636,1149361,CITY_IN
1129648,1149361,CITY_IN
1129678,1149361,CITY_IN
1129680,1149361,CITY_IN
1129867,1149361,CITY_IN
1129928,1149361,CITY_IN
1129932,1149361,CITY_IN
1130065,1149361,CITY_IN
1130131,1149361,CITY_IN
1130132,1149361,CITY_IN
1130233,1149361,CITY_IN
1130469,1149361,CITY_IN
1130490,1149361,CITY_IN
1130497,1149361,CITY_IN
1130981,1149361,CITY_IN
1130997,1149361,CITY_IN
1131045,1149361,CITY_IN
1131162,1149361,CITY_IN
1131316,1149361,CITY_IN
1131389,1149361,CITY_IN
1131406,1149361,CITY_IN
1131462,1149361,CITY_IN
1131479,1149361,CITY_IN
1131591,1149361,CITY_IN
1131625,1149361,CITY_IN
1131649,1149361,CITY_IN
1131833,1149361,CITY_IN
1132034,1149361,CITY_IN
1132046,1149361,CITY_IN
1132127,1149361,CITY_IN
1132172,1149361,CITY_IN
1132336,1149361,CITY_IN
1132344,1149361,CITY_IN
1132465,1149361,CITY_IN
1132495,1149361,CITY_IN
1132550,1149361,CITY_IN
1132604,1149361,CITY_IN
1132770,1149361,CITY_IN
1132807,1149361,CITY_IN
1133105,1149361,CITY_IN
1133154,1149361,CITY_IN
1133270,1149361,CITY_IN
1133279,1149361,CITY_IN
1133310,1149361,CITY_IN
1133453,1149361,CITY_IN
1133456,1149361,CITY_IN
1133544,1149361,CITY_IN
1133574,1149361,CITY_IN
1133616,1149361,CITY_IN
1133657,1149361,CITY_IN
1133689,1149361,CITY_IN
1133749,1149361,CITY_IN
1133856,1149361,CITY_IN
1133987,1149361,CITY_IN
1134074,1149361,CITY_IN
1134720,1149361,CITY_IN
1134724,1149361,CITY_IN
1134762,1149361,CITY_IN
1134887,1149361,CITY_IN
1135158,1149361,CITY_IN
1135514,1149361,CITY_IN
1135625,1149361,CITY_IN
1135656,1149361,CITY_IN
1135689,1149361,CITY_IN
1135960,1149361,CITY_IN
1135980,1149361,CITY_IN
1136235,1149361,CITY_IN
1136250,1149361,CITY_IN
1136354,1149361,CITY_IN
1136414,1149361,CITY_IN
1136442,1149361,CITY_IN
1136469,1149361,CITY_IN
1136575,1149361,CITY_IN
1136604,1149361,CITY_IN
1136723,1149361,CITY_IN
1136737,1149361,CITY_IN
1136863,1149361,CITY_IN
1137079,1149361,CITY_IN
1137121,1149361,CITY_IN
1137147,1149361,CITY_IN
1137148,1149361,CITY_IN
1137160,1149361,CITY_IN
1137168,1149361,CITY_IN
1137247,1149361,CITY_IN
1137359,1149361,CITY_IN
1137548,1149361,CITY_IN
1137745,1149361,CITY_IN
1137807,1149361,CITY_IN
1138321,1149361,CITY_IN
1138336,1149361,CITY_IN
1138590,1149361,CITY_IN
1138636,1149361,CITY_IN
1138657,1149361,CITY_IN
1138714,1149361,CITY_IN
1138801,1149361,CITY_IN
1138958,1149361,CITY_IN
1139085,1149361,CITY_IN
1139335,1149361,CITY_IN
1139500,1149361,CITY_IN
1139683,1149361,CITY_IN
1139715,1149361,CITY_IN
1139807,1149361,CITY_IN
1139967,1149361,CITY_IN
1140026,1149361,CITY_IN
1140341,1149361,CITY_IN
1140433,1149361,CITY_IN
1140435,1149361,CITY_IN
1140605,1149361,CITY_IN
1140614,1149361,CITY_IN
1140623,1149361,CITY_IN
1140919,1149361,CITY_IN
1140970,1149361,CITY_IN
1141089,1149361,CITY_IN
1141098,1149361,CITY_IN
1141269,1149361,CITY_IN
1141540,1149361,CITY_IN
1141857,1149361,CITY_IN
1142170,1149361,CITY_IN
1142171,1149361,CITY_IN
1142172,1149361,CITY_IN
1142234,1149361,CITY_IN
1142239,1149361,CITY_IN
1142264,1149361,CITY_IN
1142330,1149361,CITY_IN
1142404,1149361,CITY_IN
1142517,1149361,CITY_IN
1142545,1149361,CITY_IN
1142738,1149361,CITY_IN
1142758,1149361,CITY_IN
1142761,1149361,CITY_IN
1142776,1149361,CITY_IN
1142777,1149361,CITY_IN
1142852,1149361,CITY_IN
1142964,1149361,CITY_IN
1143255,1149361,CITY_IN
1143477,1149361,CITY_IN
1143529,1149361,CITY_IN
1143548,1149361,CITY_IN
1143630,1149361,CITY_IN
1143782,1149361,CITY_IN
1143814,1149361,CITY_IN
1143816,1149361,CITY_IN
1143838,1149361,CITY_IN
1143874,1149361,CITY_IN
1143901,1149361,CITY_IN
1144040,1149361,CITY_IN
1144121,1149361,CITY_IN
1144166,1149361,CITY_IN
1144185,1149361,CITY_IN
1144559,1149361,CITY_IN
1144905,1149361,CITY_IN
1144942,1149361,CITY_IN
1145007,1149361,CITY_IN
1145124,1149361,CITY_IN
1145128,1149361,CITY_IN
1145348,1149361,CITY_IN
1145352,1149361,CITY_IN
1145364,1149361,CITY_IN
1145417,1149361,CITY_IN
1145511,1149361,CITY_IN
1145605,1149361,CITY_IN
1145607,1149361,CITY_IN
1145799,1149361,CITY_IN
1145866,1149361,CITY_IN
1145897,1149361,CITY_IN
1145904,1149361,CITY_IN
1146336,1149361,CITY_IN
1146576,1149361,CITY_IN
1146694,1149361,CITY_IN
1146822,1149361,CITY_IN
1146911,1149361,CITY_IN
1146979,1149361,CITY_IN
1147066,1149361,CITY_IN
1147118,1149361,CITY_IN
1147242,1149361,CITY_IN
1147290,1149361,CITY_IN
1147489,1149361,CITY_IN
1147511,1149361,CITY_IN
1147540,1149361,CITY_IN
1147851,1149361,CITY_IN
1148106,1149361,CITY_IN
1148114,1149361,CITY_IN
1148205,1149361,CITY_IN
1148268,1149361,CITY_IN
1148311,1149361,CITY_IN
1148560,1149361,CITY_IN
1148658,1149361,CITY_IN
1148695,1149361,CITY_IN
1148709,1149361,CITY_IN
1148792,1149361,CITY_IN
1148863,1149361,CITY_IN
1148893,1149361,CITY_IN
1148911,1149361,CITY_IN
1148939,1149361,CITY_IN
1149049,1149361,CITY_IN
1149052,1149361,CITY_IN
