geonames_id:ID,latitude:double,longitude:double,country_uuid,country_name,:LABEL
1210997,23.685,90.3563,f807e2e6-0d05-4d5e-b2f6-d330e69b5678,Bangladesh,Country
1218197,38.9697,59.5563,bb5cd61a-9923-4721-ad2f-1356c019ae09,Turkmenistan,Country
1220409,38.861,71.2761,b36d7670-641c-4ca3-900d-3e32c9ffba5c,Tajikistan,Country
1227603,7.8731,80.7718,dd167e72-b9b4-43e0-846d-15802f545156,Sri Lanka,Country
1252634,27.5142,90.4336,3aec82fb-cf22-4de7-b53e-c6eba6d5acb6,Bhutan,Country
1269750,20.5937,78.9629,0ecbc184-569d-4d38-82f3-51e33fcc05a1,India,Country
1282028,3.2028,73.2207,2dbcc4da-a5cb-46e1-8ccf-85961162e43b,Maldives,Country
1282588,-6.3432,71.8765,88a8bcf0-9c5d-4508-9b42-e7afcb54e2a5,British Indian Ocean Territory,Country
1282988,28.3949,84.124,88710d3a-020b-4955-8bc5-dd09c9236b24,Nepal,Country
1327865,21.9162,95.956,aa6671a5-1eb6-4745-963c-6df6b2558837,Myanmar,Country
1512440,41.3775,64.5853,98a124be-e0d7-4bb1-8989-f1e1f355d3c3,Uzbekistan,Country
1522867,48.0196,66.9237,27cf4e3a-e998-4b8e-921d-572e44376290,Kazakhstan,Country
1527747,41.2044,74.7661,96bbfecf-adcc-4178-b7fc-bc8394aa4265,Kyrgyzstan,Country
1546748,-49.2804,69.3486,2cab05f0-bc6e-414c-a1d9-536597f6d0fd,French Southern Territories,Country
1547314,-53.0818,73.5042,0e32cfd0-1e22-4e5e-ac3b-9ea5c652d375,Heard Island and McDonald Islands,Country
1547376,-12.1642,96.871,c527665e-99a6-4f31-a3ff-9d8dea79fcc3,Cocos Islands,Country
1559582,7.515,134.5825,b75fa96e-50f2-4e22-ac21-4ff5c4dada89,Palau,Country
1562822,14.0583,108.2772,9dd0ccd6-20eb-46c0-b5d5-4dd34a9585f0,Vietnam,Country
1605651,15.87,100.9925,cd951abf-7817-43cc-b418-b6213d335514,Thailand,Country
1643084,-0.7893,113.9213,425eb874-6e0f-419d-9363-a4cd7fd6f67a,Indonesia,Country
1655842,19.8563,102.4955,d8df206e-3d3b-47af-8f5e-950c8770b54c,Laos,Country
1668284,23.6978,120.9605,9b0b1790-a071-4991-b103-d048f14e2ae1,Taiwan,Country
1694008,12.8797,121.774,2f87509c-f9b2-4281-91d5-86b25c2ab32c,Philippines,Country
1733045,4.2105,101.9758,a9e97463-ad64-4902-ab50-9773d51336a0,Malaysia,Country
1814991,35.8615,104.0556,522f77cf-f881-4dd6-b80d-c44ec3b1cedd,China,Country
1819730,22.3964,114.1095,c67ecad5-2618-4d91-892b-fad1ca24f0f7,Hong Kong,Country
1820814,4.5353,114.7277,9016e0ff-937a-4db8-8cbf-ce6c5402c525,Brunei,Country
1821275,22.1987,113.5439,98c20b9d-bea5-4155-abb8-c96b30ac8fa4,Macau,Country
1831722,12.5657,104.991,a9018803-cfdd-476f-974b-17473aa62369,Cambodia,Country
1835841,35.9078,127.7669,88fa2979-e0fe-4791-b2a4-4101b008bd6f,South Korea,Country
1861060,36.2048,138.2529,b870adb4-d7e2-41fe-b276-bb8aa3d95924,Japan,Country
1873107,40.3399,127.5101,943779be-e5a8-486e-94a3-9ccb926e6e11,North Korea,Country
1880251,1.3521,103.8198,eb09ab38-2103-49d8-9b83-d56bed2883bf,Singapore,Country
1899402,-21.2367,-159.7777,b8fcd047-f399-444d-91d4-29d359e9f85b,Cook Islands,Country
1966436,-8.8742,125.7275,4f31230d-b3fa-4fcf-9c5e-a5bd1dc1c441,Timor-Leste,Country
2017370,61.524,105.3188,b363398e-f48f-4cfc-a915-99db3bed4d29,Russia,Country
2029969,46.8625,103.8467,1034374e-508e-4670-b4c4-f77bab69e25f,Mongolia,Country
2077456,-25.2744,133.7751,4860685f-3ce5-4f53-8414-5be39192815b,Australia,Country
2078138,-10.4475,105.6904,8dbd4234-164c-49e8-9a8c-ff6e4adf9e21,Christmas Island,Country
2080185,7.1315,171.1845,f362eba6-9c12-48b0-ba12-b59b30d1061e,Marshall Islands,Country
2081918,7.4256,150.5508,e0a42d48-07cb-429d-892d-cb891bf902d3,Micronesia,Country
2088628,-6.315,143.9555,ec228979-f918-41f3-b0dc-78e483c1f5e5,Papua New Guinea,Country
2103350,-9.6457,160.1562,0c73418b-1c2f-48c6-afb7-c3af1184a636,Solomon Islands,Country
2110297,-7.1095,177.6493,ac88c6fa-ae62-4e51-98e9-a1a323d57394,Tuvalu,Country
2110425,-0.5228,166.9315,9fd4bcc4-05f3-44dc-a924-3e5060780426,Nauru,Country
2134431,-15.3767,166.9592,5e5cb389-6df9-48da-8446-c37087e176b9,Vanuatu,Country
2139685,-20.9043,165.618,12d82a02-a64f-4d98-b06e-ac4952878ac1,New Caledonia,Country
2155115,-29.0408,167.9547,c12aad8d-c968-40bb-88e2-4f4fbba78d50,Norfolk Island,Country
2186224,-40.9006,174.886,9de68c16-8b61-414c-a97b-018000927820,New Zealand,Country
2205218,-18.1667,178.065,1f3422db-5a49-4528-84c9-2a417025ec2e,Fiji,Country
2215636,26.3351,17.2283,01a56ac2-de26-44c1-8767-fab69d5cc2e6,Libya,Country
2233387,7.3697,12.3547,ffd0c0c5-88e7-4819-95cb-d8cbb3079e11,Cameroon,Country
2245662,14.4974,-14.4524,606d33d0-efc5-4be3-95dc-efd68d1dd2e5,Senegal,Country
2260494,-4.0383,21.7587,791963f6-78cf-4bf4-ab4c-64baa872e104,Congo,Country
2264397,39.3999,-8.2245,b599bc73-34dc-429b-b1f6-57bf6b785f73,Portugal,Country
2275384,6.4281,-9.4295,3c731456-5e54-49a3-b374-64721db7be4f,Liberia,Country
2287781,7.54,-5.5471,60036e74-f2c4-439a-8d3b-1acad0f54ad4,Ivory Coast,Country
2300660,7.9465,-1.0232,1fe600df-f51e-4e1d-b7f3-13079923424c,Ghana,Country
2309096,1.6508,10.2679,d60a215a-1228-4a25-ab37-decd8516e591,Equatorial Guinea,Country
2328926,9.082,8.6753,17e82bd4-56f3-43a9-a540-6bb298beeb11,Nigeria,Country
2361809,12.2383,-1.5616,0c52be67-1cc5-4986-84ec-1c948e5573d3,Burkina Faso,Country
2363686,8.6195,0.8248,c05ed3ad-1008-46c3-8993-a73f25ec81ed,Togo,Country
2372248,11.8037,-15.1804,a7282f61-8520-4a5a-b8aa-0311763edb4c,Guinea-Bissau,Country
2378080,21.0079,-10.9408,d5e629dc-5ddf-416f-8d19-4f27a0ee629c,Mauritania,Country
2395170,9.3077,2.3158,abfd4120-1e19-46a3-8d04-2035ee1d1fe0,Benin,Country
2400553,-0.8037,11.6094,739225b2-ca95-4b4e-bc6d-71f82ad87885,Gabon,Country
2403846,8.4606,-11.7799,c931df8b-e0e1-4d08-bf7a-f04c8ecf8b30,Sierra Leone,Country
2410758,0.1864,6.6131,34aa6a51-4c9e-42a2-ab0a-1a57d82b2328,Sao Tome and Principe,Country
2411586,36.1408,-5.3536,201797e3-e1d8-4cf0-86af-841f1f6c673b,Gibraltar,Country
2413451,13.4432,-15.3101,fd975f63-e5b6-4230-ab7a-327c0cde5266,Gambia,Country
2420477,9.9456,-9.6966,d60331a1-6950-49aa-af02-4cca07f5c109,Guinea,Country
2434508,15.4542,18.7322,9b2430d2-97ca-49a3-8019-bb28b0734146,Chad,Country
2440476,17.6078,8.0817,06985a1e-89d2-4eb1-915e-97d8881fc7fd,Niger,Country
2453866,17.5707,-3.9962,6894a37c-6c76-4d90-9c01-e6a7d12b960c,Mali,Country
2461445,24.2155,-12.8858,685415b1-3e37-46dc-aa78-7cc867e818c7,Western Sahara,Country
2464461,33.8869,9.5375,89685d66-98e3-4ec5-a321-989a49e8e08b,Tunisia,Country
2510769,40.4637,-3.7492,0d333575-a741-434e-a316-0e9f02ff38f4,Spain,Country
2542007,31.7917,-7.0926,d76638ba-d5d2-40bd-bbc9-49cc67d3aeed,Morocco,Country
2562770,35.9375,14.3754,1870cf3c-130b-4266-9e2f-5c98e1507bab,Malta,Country
2589581,28.0339,1.6596,33682219-964c-44bf-b087-a48b8c19e5da,Algeria,Country
2622320,61.8926,-6.9118,ff7307a4-cb9b-4da1-bb03-ae9a544d4d08,Faroe Islands,Country
2623032,56.2639,9.5018,46629f75-e1ed-4292-8d0c-8a7ddd5dd03a,Denmark,Country
2629691,64.9631,-19.0208,feb34518-f3ed-4650-b05a-808fcc8ad5d9,Iceland,Country
2635167,55.3781,-3.436,2c89f9df-7441-4e46-9429-a89371abfe8c,United Kingdom,Country
